,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Phangnga,TH,8.45,77.27,74,20,9.17
1,Qaanaaq,GL,77.48,4.15,73,94,4.52
2,Mugur-Aksy,RU,50.38,5.05,30,0,5.93
3,Avarua,CK,-21.21,80.6,74,9,5.82
4,Ostrovnoy,RU,68.05,16.02,96,98,6.87
5,Port Blair,IN,11.67,82.44,73,32,18.81
6,Albany,US,42.65,24.53,63,40,9.17
7,Hualmay,PE,-11.1,63.88,86,100,2.68
8,Victor Harbor,AU,-35.55,64.24,55,20,9.17
9,Cache Creek,CA,50.81,38.25,98,20,11.41
10,Mahebourg,MU,-20.41,76.12,78,40,6.93
11,Yalutorovsk,RU,56.65,10.83,90,99,7.07
12,Hobart,AU,-42.88,56.28,59,40,27.51
13,Tura,RU,64.27,-20.33,94,92,5.93
14,Port Alfred,ZA,-33.59,61.0,63,61,3.0
15,Rikitea,PF,-23.12,76.75,86,85,16.51
16,Thinadhoo,MV,0.53,82.99,73,69,5.37
17,Mercedes,UY,-33.25,64.0,68,35,5.86
18,Tasiilaq,GL,65.61,28.4,79,99,8.05
19,Xaltianguis,MX,17.1,84.2,74,20,9.17
20,Barrow,AR,-38.31,50.68,77,9,5.21
21,Ushuaia,AR,-54.81,50.0,71,75,20.8
22,Atuona,PF,-9.8,79.68,73,0,15.08
23,Butaritari,KI,3.07,84.69,72,1,9.04
24,Abonnema,NG,4.71,78.64,87,96,3.71
25,Mataura,NZ,-46.19,57.85,61,44,18.12
26,Qaanaaq,GL,77.48,4.15,73,94,4.52
27,Punta Arenas,CL,-53.16,53.6,62,75,26.4
28,Codrington,AU,-28.95,84.96,12,0,6.93
29,Kavaratti,IN,10.57,82.67,79,93,15.1
30,Bayir,TR,37.27,41.0,93,96,4.7
31,Caravelas,BR,-17.73,72.63,97,100,8.1
32,Moose Factory,CA,51.26,24.8,92,90,8.05
33,Norman Wells,CA,65.28,-5.8,83,90,11.41
34,Atuona,PF,-9.8,79.68,73,0,15.08
35,Saskylakh,RU,71.97,-35.52,98,2,6.42
36,Nueve de Julio,AR,-31.67,76.39,31,34,23.02
37,Yellowknife,CA,62.45,-3.08,77,20,14.99
38,Avarua,CK,-21.21,80.6,74,9,5.82
39,Bafoulabe,ML,13.81,72.18,18,19,3.71
40,Atuona,PF,-9.8,79.68,73,0,15.08
41,Ushuaia,AR,-54.81,50.0,71,75,20.8
42,Jamestown,AU,-33.21,79.02,21,0,9.69
43,Atuona,PF,-9.8,79.68,73,0,15.08
44,Saint-Philippe,CA,45.36,26.2,58,1,8.05
45,Mar del Plata,AR,-46.43,51.64,76,0,6.82
46,Saint George,GR,39.45,46.4,93,90,8.05
47,Arraial do Cabo,BR,-22.97,69.8,88,75,3.36
48,Ushuaia,AR,-54.81,50.0,71,75,20.8
49,Cayenne,GF,4.94,77.0,88,20,5.26
50,Talnakh,RU,69.49,12.2,66,100,17.9
51,Burgos,ES,42.34,29.39,100,0,5.82
52,Los Llanos de Aridane,ES,28.66,60.8,63,90,6.93
53,Dongen,NL,51.62,33.73,100,30,4.7
54,Pathein,MM,16.78,80.96,67,21,3.91
55,Yumen,CN,40.29,26.13,44,0,16.04
56,Centenario do Sul,BR,-22.82,68.95,80,100,10.04
57,Dwarka,IN,28.58,62.17,71,78,2.46
58,Lompoc,US,34.64,57.34,62,90,4.7
59,Punta Arenas,CL,-53.16,53.6,62,75,26.4
60,Udachnyy,RU,66.42,-22.0,74,75,4.47
61,Bluff,AU,-23.58,95.47,15,0,8.05
62,Los Llanos de Aridane,ES,28.66,60.8,63,90,6.93
63,Longyearbyen,NO,78.22,21.2,62,0,13.87
64,Bykovo,RU,49.76,25.86,80,99,16.6
65,Cape Town,ZA,-33.93,58.44,58,0,26.4
66,Gdov,RU,58.74,31.82,95,100,12.35
67,Westport,US,41.14,30.81,69,1,6.93
68,Busselton,AU,-33.64,84.4,34,0,10.25
69,Siyana,IN,28.63,60.03,31,57,2.13
70,Kapaa,US,22.08,81.5,65,75,10.29
71,Nabire,ID,-3.36,81.48,74,100,1.19
72,Carnarvon,ZA,-30.97,39.76,73,29,21.61
73,Ushuaia,AR,-54.81,50.0,71,75,20.8
74,Mataura,NZ,-46.19,57.85,61,44,18.12
75,Chuy,UY,-33.69,63.0,71,78,9.86
76,Batagay-Alyta,RU,67.8,-31.76,90,17,1.52
77,Broome,GB,52.47,38.03,86,10,6.93
78,Lamin,GM,13.35,71.6,88,44,13.85
79,Avarua,CK,-21.21,80.6,74,9,5.82
80,Yumen,CN,40.29,26.13,44,0,16.04
81,Nelson Bay,AU,-32.72,86.36,16,0,20.8
82,Mahebourg,MU,-20.41,76.12,78,40,6.93
83,Tasiilaq,GL,65.61,28.4,79,99,8.05
84,Albany,US,42.65,24.53,63,40,9.17
85,Gunjur,GM,13.18,71.6,88,50,17.52
86,Leua,AO,-11.65,64.58,96,100,3.89
87,Saskylakh,RU,71.97,-35.52,98,2,6.42
88,Busselton,AU,-33.64,84.4,34,0,10.25
89,Mahebourg,MU,-20.41,76.12,78,40,6.93
90,Butaritari,KI,3.07,84.69,72,1,9.04
91,Punta Arenas,CL,-53.16,53.6,62,75,26.4
92,Tasiilaq,GL,65.61,28.4,79,99,8.05
93,Mar del Plata,AR,-46.43,51.64,76,0,6.82
